Timestamp,Elapsed_s,Temperature_C,Pressure_Pa,AirSpeed_mps,Lift_g,Drag_g,Density_kgm3,DynamicPressure_Pa,ReynoldsNumber,DynamicRange_mps,CL,CD,CLCD_Ratio
2026-04-26 12:28:59.088,2.624526,30.3,90844.0,0.99,-1.72,-0.5101994991,1.0429213438708065,0.5110836045638887,5544.489095362619,0.0,-3.3003285273439955,-0.978968582276946,3.371230279594761
2026-04-26 12:28:59.089,2.625648,30.3,90840.0,0.99,-1.46,-0.5107233047,1.0428754224519403,0.5110611007725734,5544.244963043683,0.0,-2.801565014115896,-0.980016809822721,2.8586907755415765
2026-04-26 12:28:59.089,2.626448,30.3,90836.0,0.99,-1.74,-0.5107233047,1.0428295010330741,0.511038596981258,5544.000830724747,0.0,-3.338998482853497,-0.9800599652593244,3.4069328420837963
2026-04-26 12:28:59.090,2.62722,30.3,90836.0,0.99,-1.69,-0.5071318626,1.0428295010330741,0.511038596981258,5544.000830724747,0.0,-3.243050250587592,-0.9731681148437173,3.332466612008141
2026-04-26 12:28:59.091,2.627995,30.3,90838.0,0.88,-1.57,-0.5089275836,1.0428524617425072,0.4037924731866988,4928.109241674858,0.10999999999999999,-3.8129587653015147,-1.2359999304403437,3.084918268517289
2026-04-26 12:28:59.092,2.628778,30.3,90836.0,0.88,-1.51,-0.5117707252,1.0428295010330741,0.4037835828000063,4928.000738421998,0.10999999999999999,-3.6673213401383906,-1.2429322528371256,2.9505400087312386
2026-04-26 12:28:59.093,2.629566,30.3,90835.0,0.99,-1.66,-0.5101994991,1.0428180206783575,0.511032971033429,5543.939797645013,0.10999999999999999,-3.1855163801036057,-0.9790655792190993,3.2536292233298276
2026-04-26 12:28:59.094,2.630582,30.3,90844.0,1.19,-1.65,-0.5147635459,1.0429213438708065,0.7384404575277245,6664.587902506582,0.30999999999999994,-2.1912359128010657,-0.6836171929556968,3.205355183252498
2026-04-26 12:28:59.094,2.631487,30.3,90834.0,1.19,-1.77,-0.5169333457,1.042806540323641,0.738359170876154,6663.854272558264,0.30999999999999994,-2.3508573042307948,-0.6865743116041285,3.424039123657563
2026-04-26 12:28:59.095,2.632349,30.3,90846.0,1.3,-1.75,-0.5319722175,1.0429443045802398,0.8812879373703026,7280.802535332035,0.42000000000000004,-1.9473360263172381,-0.5919592366500682,3.2896454785253897
2026-04-26 12:28:59.096,2.633235,30.3,90840.0,1.3,-1.87,-0.5364614009,1.0428754224519403,0.8812297319718896,7280.32166864322,0.42000000000000004,-2.081005081270338,-0.5969940648012321,3.485805310247438
2026-04-26 12:28:59.097,2.634182,30.3,90845.0,1.3,-1.78,-0.5232182025,1.0429328242255231,0.8812782364705671,7280.7223908839005,0.42000000000000004,-1.9807407329050715,-0.582224497690519,3.402022314007702
2026-04-26 12:28:59.098,2.635162,30.3,90839.0,1.4,-1.76,-0.5409506797,1.0428639420972239,1.0220066632552793,7840.260102979322,0.5199999999999999,-1.6888054276500182,-0.5190684340729128,3.2535313588589245
2026-04-26 12:28:59.099,2.636127,30.3,90838.0,1.3,-1.77,-0.5313735961,1.0428524617425072,0.8812103301724187,7280.16137974695,0.5199999999999999,-1.969764754868881,-0.5913451871557697,3.330989746180202
2026-04-26 12:28:59.100,2.637064,30.3,90839.0,1.3,-1.61,-0.5244901657,1.0428639420972239,0.8812200310721542,7280.241524195085,0.5199999999999999,-1.7916871999369277,-0.5836784573773217,3.0696476412503313
2026-04-26 12:28:59.101,2.638364,30.3,90844.0,1.3,-1.39,-0.5277822494,1.0429213438708065,0.8812685355708316,7280.642246435764,0.5199999999999999,-1.5467752393055219,-0.5873097231056775,2.633661896701143
2026-04-26 12:28:59.103,2.639708,30.3,90841.0,1.3,-1.5,-0.5304009914,1.042886902806657,0.8812394328716253,7280.401813091357,0.5199999999999999,-1.6692370372108483,-0.590243319612155,2.8280490125795796
2026-04-26 12:28:59.104,2.640778,30.3,90846.0,1.09,-1.66,-0.530026865,1.0429443045802398,0.6195610641358915,6104.672895009169,0.5199999999999999,-2.6275116275591897,-0.8389468377748464,3.131916718976122
