Timestamp,Elapsed_s,Temperature_C,Pressure_Pa,AirSpeed_mps,Lift_g,Drag_g,Density_kgm3,DynamicPressure_Pa,ReynoldsNumber,DynamicRange_mps,CL,CD,CLCD_Ratio
2026-04-26 14:00:47.406,6.385374,30.2,90626.0,0.09,0.13,-0.100483644,1.040761602849353,0.004215084491539879,503.12780071786614,0.0,30.245289330707088,-23.378129890644374,-1.293742890136429
2026-04-26 14:00:47.517,6.496206,30.2,90630.0,0.05,0.09,-0.1057958722,1.0408075394063165,0.0013010094242578958,279.52778194055304,0.039999999999999994,67.83951626664349,-79.74600881172928,-0.8506948156716458
2026-04-26 14:00:47.627,6.606898,30.2,90631.0,-0.0,-0.04,-0.1149239659,1.0408190235455574,0.0,-0.0,0.09,,,
2026-04-26 14:00:47.734,6.713726,30.2,90630.0,0.04,-0.17,-0.1329556465,1.0408075394063165,0.0008326460315250532,223.62222555244242,0.09,-200.22079453696864,-156.59108929650785,1.2786218898946875
2026-04-26 14:00:47.943,6.922899,30.2,90628.0,-0.0,-0.09,-0.1483686208,1.0407845711278347,0.0,-0.0,0.09,,,
2026-04-26 14:00:48.058,7.037253,30.2,90631.0,0.04,0.18,-0.145001707,1.0408190235455574,0.000832655218836446,223.62469297190123,0.09,211.99614919446367,-170.77668617013282,-1.2413646964859524
2026-04-26 14:00:48.964,7.943781,30.2,90632.0,-0.0,0.06,-0.1461240053,1.0408305076847986,0.0,-0.0,0.09,,,
2026-04-26 14:00:48.965,7.945153,30.2,90633.0,0.04,0.2,-0.1393153667,1.0408419918240395,0.0008326735934592317,223.62962781081887,0.09,235.54607896858067,-164.07594183127486,-1.4355918140076935
2026-04-26 14:00:48.966,7.946158,30.2,90631.0,-0.0,0.09,-0.1597412967,1.0408190235455574,0.0,-0.0,0.09,,,
2026-04-26 14:00:48.967,7.947085,30.2,90633.0,-0.0,0.12,-0.1572722339,1.0408419918240395,0.0,-0.0,0.09,,,
2026-04-26 14:00:48.968,7.948138,30.2,90632.0,-0.0,0.03,-0.1534564018,1.0408305076847986,0.0,-0.0,0.09,,,
2026-04-26 14:00:48.969,7.949121,30.2,90632.0,-0.12,0.02,-0.1560002803,1.0408305076847986,0.007493979655330549,-670.8814811740801,0.21,2.617207532188701,-20.414255431235432,-0.12820489784722522
2026-04-26 14:00:48.970,7.950097,30.2,90634.0,-0.03,-0.03,-0.1796434974,1.0408534759632804,0.0004683840641834761,-167.72407142270825,0.21,-62.81159469267419,-376.1231515954423,0.16699741674034008
2026-04-26 14:00:49.173,8.153129,30.2,90635.0,-0.12,-0.07,-0.1816636466,1.0408649601025213,0.007494227712738152,-670.9036879492095,0.21,-9.159923161037597,-23.771786342998407,0.3853275066867452
2026-04-26 14:00:49.282,8.261349,30.2,90630.0,-0.03,-0.09,-0.1856291198,1.0408075394063165,0.0004683633927328424,-167.7166691643318,0.21,-188.44310074067636,-388.672521365272,0.4848377242588207
2026-04-26 14:00:49.394,8.373225,30.2,90640.0,-0.12,0.23,-0.1916147327,1.040922380798726,0.007494641141750827,-670.9406992410918,0.21,30.095230142974998,-25.072562953874506,-1.2003252399182562
2026-04-26 14:00:49.507,8.486731,30.2,90632.0,-0.03,0.08,-0.208748579,1.0408305076847986,0.0004683737284581593,-167.72037029352003,0.21,167.50128206007687,-437.0706826339905,-0.3832361416936879
2026-04-26 14:00:49.718,8.697972,30.2,90631.0,-0.24,0.07,-0.2164550781,1.0408190235455574,0.029975587878112053,-1341.748157831407,0.32999999999999996,2.2900818585821696,-7.081426393639953,-0.3233927363333131
2026-04-26 14:00:49.832,8.811807,30.2,90637.0,-0.24,0.04,-0.224760127,1.040887928381003,0.029977572337372888,-1341.8369849319245,0.32999999999999996,1.3085315768247316,-7.352643084765924,-0.17796750933496314
2026-04-26 14:00:49.943,8.923048,30.2,90635.0,-0.33,0.31,-0.2264809846,1.0408649601025213,0.05667509707758229,-1844.9851418603262,0.42000000000000004,5.3640163965462175,-3.9188635964526815,-1.3687683341164707
2026-04-26 14:00:50.052,9.031694,30.2,90629.0,-0.33,-0.09,-0.2210939168,1.0407960552670756,0.05667134520929227,-1844.8630045971145,0.38,-1.5573981819921268,-3.825902934153761,0.4070668307053123
2026-04-26 14:00:50.975,9.954757,30.2,90634.0,-0.22,-0.18,-0.22236588,1.0408534759632804,0.025188654118311383,-1229.9765237665272,0.37,-7.007905192984311,-8.657327806636257,0.8094767056888403
2026-04-26 14:00:50.977,9.956492,30.2,90635.0,-0.22,0.1,-0.236282444,1.0408649601025213,0.025188932034481016,-1229.9900945735508,0.37,3.893237707170642,-9.199037205232354,-0.4232223025422914
2026-04-26 14:00:50.978,9.957822,30.2,90635.0,-0.22,0.17,-0.2348608732,1.0408649601025213,0.025188932034481016,-1229.9900945735508,0.37,6.618504102190091,-9.143692074812627,-0.7238327852729793
2026-04-26 14:00:50.979,9.959068,30.2,90633.0,-0.22,0.2,-0.2333644628,1.0408419918240395,0.025188376202141757,-1229.9629529595038,0.37,7.786647238630766,-9.085633749280861,-0.8570285192540464
2026-04-26 14:00:50.981,9.960311,30.2,90638.0,-0.22,0.2,-0.2380781412,1.0408994125202442,0.02518976578298991,-1230.0308069946213,0.37,7.786217692124963,-9.268641175598324,-0.8400603221779523
2026-04-26 14:00:50.982,9.961547,30.2,90637.0,-0.22,0.2,-0.2588781833,1.040887928381003,0.025189487866820275,-1230.0172361875977,0.37,7.786303597634767,-10.078520649889711,-0.7725641359597722
2026-04-26 14:00:50.983,9.962763,30.2,90637.0,-0.0,-0.05,-0.2545385837,1.040887928381003,0.0,-0.0,0.33,,,
2026-04-26 14:00:51.192,10.171351,30.2,90635.0,-0.0,-0.15,-0.2546133995,1.0408649601025213,0.0,-0.0,0.33,,,
2026-04-26 14:00:51.301,10.280754,30.2,90634.0,-0.0,-0.06,-0.2598508358,1.0408534759632804,0.0,-0.0,0.33,,,
