Timestamp,Elapsed_s,Temperature_C,Pressure_Pa,AirSpeed_mps,Lift_g,Drag_g,Density_kgm3,DynamicPressure_Pa,ReynoldsNumber,DynamicRange_mps,CL,CD,CLCD_Ratio
2026-04-26 13:20:57.108,2.618229,30.4,90708.0,0.08,,,1.04101695517288,0.0033312542565532162,447.10842940319,0.0,,,
2026-04-26 13:20:57.109,2.619355,30.4,90714.0,0.08,-0.53,0.423632431,1.0410858146089943,0.0033314746067487815,447.1380039784912,0.0,-156.01273050291428,124.70198545263665,-1.2510845752505668
2026-04-26 13:20:57.110,2.620168,30.4,90712.0,0.08,-0.47,0.4259518623,1.0410628614636228,0.0033314011566835935,447.1281457867242,0.0,-138.35396228859992,125.38750615619807,-1.1034110696503465
2026-04-26 13:20:57.110,2.620956,30.4,90717.0,-0.14,-0.4,0.4281216144,1.0411202443270513,0.010202978394405104,-782.5173847157482,0.22000000000000003,-38.446224703867124,41.14914946951188,-0.9343139578705654
2026-04-26 13:20:57.111,2.621747,30.4,90717.0,-0.04,-0.23,0.4028324127,1.0411202443270513,0.0008328961954616411,-223.57639563307092,0.22000000000000003,-270.80559525786407,474.30117961036973,-0.570957035106525
2026-04-26 13:20:57.112,2.622671,30.4,90712.0,0.15,-0.29,0.4044784545,1.0410628614636228,0.011711957191465757,838.3652733501077,0.29000000000000004,-24.282265154386895,33.86776924622626,-0.7169726762294084
2026-04-26 13:20:57.113,2.623498,30.4,90715.0,0.05,-0.46,0.4064237594,1.0410972911816798,0.0013013716139771,279.4643331714842,0.29000000000000004,-346.63880413172905,306.26575201986424,-1.1318235938742711
2026-04-26 13:20:57.114,2.624313,30.4,90715.0,0.05,-0.33,0.4182453632,1.0410972911816798,0.0013013716139771,279.4643331714842,0.29000000000000004,-248.6756638336317,315.17407072454057,-0.7890105403086033
2026-04-26 13:20:57.115,2.625134,30.4,90717.0,0.17,-0.28,0.4195173263,1.0411202443270513,0.015044187530525893,950.1996814405513,0.31000000000000005,-18.251979340382594,27.346505616286223,-0.6674336968856679
2026-04-26 13:20:57.116,2.625981,30.4,90716.0,0.26,-0.09,0.4149532794,1.0411087677543656,0.03518947635009756,1453.2305520533394,0.4,-2.508131951777546,11.563973095089061,-0.2168918875159515
2026-04-26 13:20:57.116,2.626841,30.4,90714.0,0.26,-0.03,0.3954252052,1.0410858146089943,0.035188700533784006,1453.1985129300965,0.4,-0.8360624164496913,11.020005086154235,-0.07586769787430839
2026-04-26 13:20:57.117,2.627728,30.4,90713.0,0.37,-0.11,0.4072467803,1.0410743380363086,0.07126153843858532,2067.99047133206,0.51,-1.5137639793304116,5.604322788331143,-0.27010649395181974
2026-04-26 13:20:57.118,2.628704,30.4,90718.0,0.27,-0.53,0.4154022216,1.041131720899737,0.03794925122679542,1509.1573062218356,0.51,-13.695986961476866,10.73461020906061,-1.2758718476723718
2026-04-26 13:20:57.119,2.62967,30.4,90717.0,0.49,-0.34,0.4008870601,1.0411202443270513,0.1249864853314625,2738.810846505118,0.63,-2.667697224349964,3.145427345607609,-0.848119168314358
2026-04-26 13:20:57.120,2.6308,30.4,90715.0,0.49,-0.36,0.4154022216,1.0410972911816798,0.12498372980636066,2738.750465080545,0.63,-2.8246828650974787,3.259387604102627,-0.8666299342680261
2026-04-26 13:20:57.121,2.631848,30.4,90718.0,0.49,-0.54,0.4234079837,1.041131720899737,0.12498786309401344,2738.8410372174053,0.63,-4.236884181319877,3.322093682190878,-1.2753656539046503
2026-04-26 13:20:57.123,2.633065,30.4,90715.0,0.39,-0.29,0.422734642,1.0410972911816798,0.07917544899436675,2179.821798737577,0.63,-3.591932267036897,5.235980003427901,-0.6860095463858388
2026-04-26 13:20:57.124,2.634243,30.4,90714.0,0.39,-0.39,0.4201158523,1.0410858146089943,0.07917457620101402,2179.7977693951448,0.63,-4.830582850598216,5.203601106114956,-0.9283153631667901
2026-04-26 13:20:57.125,2.635324,30.4,90713.0,0.27,-0.3,0.4034309864,1.0410743380363086,0.037947159621423456,1509.074127728801,0.63,-7.75287275609178,10.425830344745979,-0.7436216109155069
2026-04-26 13:20:57.126,2.636515,30.4,90718.0,0.18,-0.44,0.4063489913,1.041131720899737,0.01686633387857574,1006.1048708145569,0.63,-25.583069984645466,23.626487915040894,-1.0828130730492105
2026-04-26 13:20:58.038,3.54856,30.4,90716.0,0.18,-0.29,0.4172726631,1.0411087677543656,0.01686596203762072,1006.082689883081,0.63,-16.861940597615575,24.262161580003646,-0.6949892136367942
2026-04-26 13:20:58.040,3.550077,30.4,90714.0,-0.02,-0.45,0.4130079746,1.0410858146089943,0.00020821716292179884,-111.7845009946228,0.63,-2119.4182256999675,1945.192508281487,-1.0895673393130652
2026-04-26 13:20:58.041,3.551234,30.4,90711.0,0.08,-0.33,0.4150280952,1.041051384890937,0.003331364431650999,447.12321669084054,0.63,-97.14321463161465,122.17322221261757,-0.7951268933756752
